Region,Crop_Type,Rainfall_mm,Temperature_C,Humidity_%,Soil_pH,Fertilizer_kg_per_hectare,Pesticide_kg_per_hectare,Area_hectare,Crop_Yield_ton_per_hectare
West,Maize,432.52,24.47,59.29,7.11,132.31,2.98,2.04,19.22
Central,Maize,757.6,32.87,62.2,4.82,159.85,9.67,12.26,30.88
East,Maize,1567.35,37.62,40.71,5.62,142.69,3.29,4.87,33.47
Central,Cotton,597.73,30.68,36.53,8.23,184.17,8.04,2.52,28.28
Central,Sugarcane,698.53,29.32,52.22,5.45,89.29,7.27,0.89,23.04
South,Maize,1455.36,26.51,66.61,8.29,93.37,5.24,3.92,24.09
East,Wheat,1693.08,30.91,73.31,7.24,185.22,2.68,12.91,26.39
East,Maize,659.97,37.51,69.71,4.86,196.77,1.52,11.76,34.64
East,Sugarcane,1281.32,21.19,38.45,6.87,269.58,7.16,9.37,22.19
Central,Sugarcane,690.15,38.36,31.75,4.58,58.41,9.91,5.68,22.35
West,Cotton,733.74,36.53,71.71,6.07,64.91,9.19,19.04,28.1
East,Maize,1171.16,26.02,44.05,5.46,117.18,2.83,0.93,18.77
Central,Wheat,1478.2,16.19,39.46,5.32,53.21,2.02,16.51,13.84
South,Cotton,1318.7,30.72,89.47,5.32,157.21,1.56,10.06,25.99
West,Cotton,547.88,19.45,77.69,7.88,281.01,8.07,19.48,23.45
South,Maize,856.9,16.14,35.65,6.28,227.61,5.92,15.77,17.75
West,Maize,1901.06,24.15,43.9,5.1,226.34,6.23,14.14,26.74
Central,Cotton,1404.23,36.44,77.82,4.93,186.76,8.41,1.13,32.71
North,Cotton,1453.0,18.62,37.69,5.7,293.62,5.65,15.76,24.36
West,Cotton,737.83,38.24,78.78,6.02,133.24,2.23,13.09,32.65
South,Rice,1933.17,16.61,35.85,6.53,161.5,1.06,3.24,18.64
Central,Cotton,730.42,15.41,35.63,6.47,67.49,6.12,11.87,13.81
West,Sugarcane,801.86,17.22,56.83,5.94,150.46,8.25,5.99,15.1
North,Wheat,1216.15,23.51,57.58,4.85,221.43,9.1,3.81,27.5
North,Wheat,1193.56,29.4,81.54,6.82,200.4,8.4,17.96,25.09
East,Maize,452.2,37.57,44.88,6.49,78.1,4.56,18.25,27.34
East,Cotton,1590.05,34.4,62.86,7.62,148.72,1.38,13.55,33.93
South,Wheat,554.33,36.68,31.27,8.1,285.7,3.44,17.58,34.91
West,Wheat,486.46,38.06,30.78,7.73,73.73,2.43,9.03,29.52
West,Sugarcane,1211.46,23.18,75.04,7.49,207.15,6.3,12.08,19.14
East,Sugarcane,477.2,25.33,67.24,7.11,244.88,9.35,14.84,18.36
West,Rice,721.08,38.46,55.9,7.36,223.67,4.77,14.8,27.19
West,Rice,1025.52,36.17,60.82,5.25,225.63,7.78,17.15,31.31
North,Wheat,1364.99,17.84,58.93,6.5,205.11,3.29,12.14,23.54
East,Maize,1652.39,19.45,74.46,4.54,216.21,1.37,6.09,26.95
Central,Wheat,863.28,38.02,45.62,7.74,296.21,4.46,4.76,33.39
East,Maize,1153.89,22.2,72.83,5.6,93.25,4.29,2.51,18.76
Central,Wheat,1926.53,21.42,71.19,6.84,299.89,5.65,0.84,22.07
North,Sugarcane,1024.34,37.05,51.72,7.81,213.25,2.7,2.0,29.26
South,Cotton,1535.44,29.06,81.5,7.87,65.47,2.1,9.96,19.83
West,Wheat,834.18,28.48,77.62,7.03,136.25,6.97,10.81,23.36
North,Rice,1397.14,25.53,44.38,5.0,265.47,7.18,13.05,29.28
West,Maize,1687.57,31.63,55.94,8.12,165.97,1.18,8.61,28.01
South,Maize,1862.76,24.13,61.66,5.72,164.97,9.59,4.85,24.91
South,Wheat,1900.03,39.59,64.24,7.87,68.73,1.93,15.72,36.07
North,Maize,883.25,25.14,69.92,7.45,104.05,9.68,16.93,18.48
South,Rice,721.41,20.05,71.06,7.97,157.8,5.46,5.39,20.31
Central,Sugarcane,1702.46,16.67,73.25,5.35,141.03,8.85,5.99,19.94
South,Cotton,1407.39,29.95,38.21,5.68,248.58,1.61,6.01,28.03
West,Cotton,1063.15,31.51,45.72,6.95,134.97,4.77,13.8,27.98
West,Maize,458.04,25.01,31.42,7.07,218.97,3.65,15.38,23.06
West,Wheat,892.35,38.72,39.14,7.78,251.6,5.62,18.99,33.4
West,Maize,578.15,16.18,83.92,6.44,69.5,1.44,13.37,8.2
Central,Rice,1187.14,28.34,38.34,7.15,260.77,9.77,11.94,25.58
East,Wheat,1723.84,33.61,77.78,6.04,77.8,8.46,13.92,32.5
North,Sugarcane,900.15,26.28,75.23,7.71,211.39,3.72,8.56,26.23
West,Rice,972.15,31.06,85.18,4.5,160.63,2.73,2.6,22.2
South,Sugarcane,1653.1,35.7,40.25,6.72,66.54,2.74,6.13,36.15
West,Wheat,1129.73,33.55,85.9,6.65,156.53,4.72,10.43,23.4
South,Sugarcane,1469.1,28.63,48.01,8.43,123.78,7.55,14.88,21.59
South,Rice,701.8,38.74,62.65,6.41,204.8,5.56,0.83,34.63
West,Rice,801.51,39.96,32.15,7.08,82.39,4.53,11.12,26.54
Central,Maize,1415.97,29.76,45.96,7.12,281.71,4.57,15.11,24.94
South,Wheat,579.11,17.44,40.34,8.06,65.71,1.43,6.42,11.27
South,Cotton,680.43,21.0,89.67,5.66,125.22,1.91,12.28,18.16
West,Cotton,908.19,34.32,30.63,5.37,76.84,3.47,10.65,25.05
South,Sugarcane,688.74,25.68,51.17,6.03,97.61,6.34,14.14,17.5
South,Cotton,1960.72,30.52,48.8,5.16,78.5,2.92,17.76,30.54
West,Cotton,809.81,15.95,78.62,7.0,123.91,3.93,5.61,11.89
West,Rice,1927.35,39.73,76.85,8.05,260.3,4.92,1.14,37.13
North,Rice,1754.2,25.58,79.57,6.71,202.38,4.91,6.82,27.16
Central,Rice,932.18,34.42,88.63,7.41,113.76,9.9,8.77,17.6
Central,Cotton,1278.08,33.72,50.35,6.52,89.63,3.26,11.15,31.58
South,Sugarcane,940.74,26.93,39.38,6.07,60.98,1.91,8.91,19.37
Central,Wheat,1524.97,35.44,87.03,8.36,175.87,1.37,4.01,28.64
South,Maize,979.29,23.34,86.02,4.77,294.99,7.5,18.13,31.99
North,Sugarcane,1146.12,16.41,67.88,6.14,95.16,3.42,8.41,13.78
West,Rice,1550.16,24.39,89.73,6.4,51.55,9.24,14.93,15.68
West,Sugarcane,1066.31,29.69,89.55,6.22,217.26,7.22,8.88,26.31
West,Wheat,1502.96,16.23,63.85,7.03,133.75,2.63,14.9,21.64
Central,Rice,992.36,31.87,35.17,5.7,100.48,6.12,16.76,24.21
North,Wheat,1038.99,39.06,31.0,6.63,121.17,4.24,6.42,26.57
Central,Maize,914.19,20.61,45.28,7.65,198.96,8.63,17.12,22.93
Central,Sugarcane,1983.09,16.23,60.91,6.4,223.52,7.72,12.44,24.45
North,Maize,1207.84,17.06,73.6,8.12,153.84,5.79,1.15,12.65
North,Cotton,755.2,16.44,50.32,7.32,178.37,7.11,15.23,15.25
North,Sugarcane,1307.42,37.54,49.55,5.57,62.8,9.6,15.93,29.53
North,Cotton,1150.43,19.6,52.76,6.14,212.65,8.46,6.31,25.6
West,Wheat,1646.22,22.73,51.66,5.46,276.91,9.83,19.32,27.47
East,Cotton,1897.23,38.18,70.09,6.23,117.46,8.08,17.75,36.3
East,Wheat,577.18,16.77,39.51,5.87,60.04,6.04,2.53,14.42
North,Maize,1969.93,30.25,50.22,7.45,285.77,5.41,5.89,35.85
East,Rice,663.85,21.5,66.67,7.12,82.34,8.8,0.87,13.24
East,Maize,837.29,38.45,72.97,5.33,231.65,2.29,17.45,34.39
North,Cotton,1640.59,15.04,33.04,4.75,282.82,6.88,17.16,23.36
East,Wheat,648.72,26.09,78.43,7.45,87.41,7.12,11.79,15.56
Central,Cotton,1708.0,38.41,60.79,8.37,52.2,9.07,1.3,28.38
South,Rice,1477.58,30.47,89.94,7.34,75.61,5.31,6.54,25.76
South,Sugarcane,1688.47,21.95,76.7,7.36,104.25,7.01,15.14,22.55
North,Sugarcane,1301.49,32.78,34.32,6.02,275.02,2.95,16.65,29.01
West,Sugarcane,1974.63,30.89,70.4,7.29,214.13,8.85,18.03,32.07
North,Cotton,1348.7,22.64,71.25,6.76,225.18,9.64,18.54,24.51
West,Sugarcane,1032.87,39.42,37.92,8.27,58.2,2.32,3.24,30.28
South,Wheat,1946.31,37.02,58.5,5.42,177.31,1.75,18.34,29.48
North,Rice,517.82,33.21,84.54,8.02,231.03,4.63,16.17,29.47
Central,Maize,1223.43,28.16,60.18,6.93,54.64,9.83,19.45,17.86
East,Wheat,1411.33,21.54,44.61,8.35,133.28,9.3,1.63,22.68
West,Rice,952.67,23.81,83.64,6.14,188.26,3.72,13.48,20.69
East,Maize,547.22,26.65,66.1,7.92,174.68,7.77,11.61,21.32
East,Sugarcane,1056.07,15.28,55.33,6.42,208.57,8.32,5.27,19.8
North,Maize,1696.93,30.13,62.08,5.25,245.34,1.96,1.54,33.08
East,Cotton,1313.85,16.32,85.46,6.57,276.61,1.48,2.16,23.84
